system,number_density,atom_types,unitcell_alpha,unitcell_beta,unitcell_gamma,unitcell_a,unitcell_b,unitcell_c,density,mean_coordination,packing_fraction,reduced_mass,average_mass,largest_pore_radius,bond_types,mean_bond_length,bond_variance,bond_std,bond_strain,electronegativity,effective_electronegativity,types_of_bond_angle,symmetry_number,pointgroup,mean_bond_angle,angle_variance,std_angle,types_puckering,max_puckering,mean_puckering,bond_density,energy,num_layers,layer_width,z_variance,spin_orbit_coupling,oxidation,entropy,linear_centre_fraction,alpha_max,alpha_max_temperature,alpha_300,saruration
MoSe2,0.0315,2,90,90,60,3.3174,3.3174,10,2.6651,4.97297297297297,0.3124,83.9557,84.6667,1.7869,2,2.7731,0.1276,0.3572,-0.0281,0.629,3.07,8,12,-6m2,93,913.2718,30.2204,3,0.9918,0.5835,0.0780638139088698,-20.74203462,1,3.3326088,1.851,3111696,6,5.29197879520307,0,-0.12920468,10,19.879219456,20
blue-P,0.0217,1,90,90,120,3.2621,3.2621,10,0.6728,2.71428571428571,0.1114,31,31,1.7724,1,2.2531,0,0,0.0529,0,3.16,1,4,2/m,93,0,0,2,0.9987,0.5043,0.0289370380076332,-10.91371144,1,1.2367894,0.3824,50625,0,0,0,-10.253349528,60,8.648487058,180
c63,0.0347,1,90,90,60,6.3156,6.3156,10,0.4169,2.73913043478261,0.0639,12,12,1.4312,2,1.41,0.0002,0.0157,-0.0724,0,3.15,3,12,6/m,111,1267.8852,35.6074,1,0.0032,0.0016,0.0463188812017254,-105.05361043,1,0,0,1296,0,0,0,-7.452979463,220,-6.978796393,1000
twin-graphene,0.0551,1,90,90,120,6.1417,6.1417,10,0.6612,2.64705882352941,0.1013,12,12,1.8834,3,1.4687,0.0052,0.072,-0.0337,0,3.15,4,24,6/mmm,116,113.0138,10.6308,2,0.9145,0.5704,0.0704079506746088,-151.68843503,1,2.35754568,0.9263,1296,0,0,0,-1.700107181,790,8.271275877,10
alpha-α-C2As2,0.0482,2,90,90,60,3.0968,3.0968,10,2.0951,3,0.2143,20.6897,43.5,1.5871,2,1.9483,0.0351,0.1875,0.0361,0,3.15,2,12,-6m2,104,68.2639,8.2622,2,0.9814,0.5898,0.0722436885490747,-25.83161644,1,3.4610994,1.7897,1185921,0,5.76282565917539,0,-0.58262686,30,11.851635827,50
gamma-Gy,0.0292,1,90,90,120,6.8847,6.8846,10,0.3508,2.234375,0.0538,12,12,4.3691,2,1.3747,0.0061,0.0782,-0.0956,0,3.15,2,24,6/mmm,143,847.3865,29.1099,1,0.0032,0.0015,0.0316715003909449,-103.52169185,2,0,0,1296,0,0,0.0138888888888889,-10.25283778,160,-8.158892077,690
H5,0.0366,1,90,90,90,11.1269,4.9144,10,0.4389,2.77083333333333,0.0673,12,12,1.6289,1,1.4278,0.0001,0.0094,-0.0607,0,3.15,5,16,mmm,121,115.0573,10.7265,1,0.0032,0.0015,0.0484618722223974,-181.47438923,1,0,0,1296,0,0,0,-1.442154879,100,0.591688787,270
PBN,0.0285,3,90,90,90,4.5556,4.6147,10,0.5327,2.7037037037037,0.0876,15.4166,18.6667,1.2669,4,1.7786,0.0339,0.1842,-0.0102,0.3178,3.2533,4,4,mm2,118,726.343,26.9508,1,0.0032,0.0016,0.0385820340527108,-39.47081598,1,0,0,50625,3,9.13386256798666,0,-3.744052032,70,9.206854428,160
chi3_borophene,0.0327,1,90,90,90,8.4375,2.8969,10,0.36,4.05882352941176,0.0842,11,11,1.4906,2,1.6804,0.0007,0.0271,-0.0115,0,3.04,4,16,mmm,111,1493.5996,38.6471,1,0.0032,0.0015,0.0640961646878451,-50.99270084,1,0,0,625,0,0,0.0138888888888889,-14.189722567,180,-11.393995155,1000
AsGY-REC,0.0213,2,90,90,90,7.4225,12.6486,10,0.5241,2.32352941176471,0.0614,14.4231,24.6,2.2449,4,1.5333,0.0688,0.2623,-0.0792,0,3.15,5,8,2/m,136,782.0565,27.9653,1,0.0032,0.0018,0.0234331665008508,-151.3135232,1,0,0,1185921,0,4.16034574929649,0,-12.483675038,30,2.154784967,230
GaSb,0.0118,2,90,90,60,4.4309,4.4309,10,1.1293,2.71428571428571,0.1109,88.9583,96,2.3852,1,2.5582,0,0,-0.0199,0.62,2.74,1,12,-6m2,120,0,0,1,0.0032,0.0016,0.0156840983107475,-6.66912891,1,0,0,6765201,3,5.76282565917539,0,-6.532701067,20,23.490094493,50
GaS,0.0167,2,90,90,90,6.429,3.7205,10,0.8529,2.8,0.1041,43.9216,51,2.0819,1,2.4004,0,0.0008,0.0574,1.01,2.935,1,4,m,101,0.0082,0.0904,2,0.9692,0.4978,0.0211650778064816,-14.92665111,1,1.07664131,0.2898,923521,3,5.76282565917539,0,0,0,95.003448399,10
C3N5,0.0151,2,90,90,60,15.1301,15.1309,10.6942,0.2,2.375,0.0245,13.1765,13.25,6.4602,4,1.3615,0.0025,0.0502,-0.0722,0.3884,3.4063,3,2,m,119,22.3206,4.7245,1,0.0032,0.0016,0.0191676735588845,-265.36695898,1,0,0,2401,3,5.50023676204546,0,-4.982,60,12.94,290
c10N3,0.0312,2,90,90,60,6.9384,6.9384,10,0.3886,2.31372549019608,0.0549,12.4091,12.4615,1.8767,4,1.4071,0.0144,0.1201,-0.0625,0.1668,3.2446,6,2,m,126,376.1098,19.3935,1,0.0032,0.0015,0.0353790654022454,-110.26690183,2,0,0,2401,1,4.49125723982099,0,-0.82330884,40,7.382992371,90
InP,0.0128,2,90,90,60,4.2515,4.2515,10,0.9327,2.71428571428571,0.1094,48.8356,73,2.3088,1,2.4546,0,0,-0.0142,0.87,2.725,1,12,-6m2,120,0,0,1,0.0032,0.0016,0.0170356853453587,-7.63388188,1,0,0,5764801,3,5.76282565917539,0,0,0,43.276074272,10
14.14.18-GY,0.0212,1,90,90,90,9.5188,6.9324,10,0.2546,2.11111111111111,0.039,12,12,3.2648,3,1.3498,0.0056,0.075,-0.112,0,3.15,2,8,mmm,152,900.1664,30.0028,1,0.0032,0.0016,0.0219737136565164,-117.19715962,1,0,0,1296,0,0,0.0178571428571429,-13.508349476,190,-12.084125746,930
5,0.0358,1,90,90,120,9.841,9.841,10,0.4292,2.5593220338983,0.0658,12,12,5.2819,4,1.4129,0.001,0.0311,-0.0704,0,3.15,1,8,mmm,121,3.9044,1.976,1,0.0032,0.0017,0.0453071324794114,-263.26188691,1,0,0,1296,0,0,0,-5.902648406,90,-0.878870126,330
germanene,0.0143,1,90,90,120,4.0156,4.0156,10,1.0455,2.71428571428571,0.1037,73,73,2.2933,1,2.4231,0,0,0.0096,0,2.79,1,12,-3m,112,0,0,2,0.8033,0.4059,0.019096180488888,-7.77113559,1,0.704482880000004,0.1241,1048576,0,0,0,-5.614048645,20,72.107213498,40
beta-β-C2Bi2,0.0349,2,90,90,60,3.6374,3.6374,10,3.8575,5,0.2691,22.6968,110.5,1.1496,3,2.8221,0.567,0.753,0.1233,0.2166,2.92,7,12,-3m,100,1081.5019,32.8862,3,1,0.4921,0.0845469613331471,-23.15116997,1,3.71404708,1.9873,47458321,3,5.76282565917539,0,0,0,24.230383172,10
C3N,0.0382,2,90,90,60,4.9183,4.9183,10,0.4773,2.71428571428571,0.067,12.4444,12.5,1.355,2,1.4172,0.0004,0.0204,-0.05,0.2306,3.2525,1,24,6/mmm,120,0.005,0.0707,1,0.0032,0.0016,0.0509169039424422,-70.6225794,1,0,0,2401,1,4.67525439236077,0,-8.827,250,-7.442,1000
ICuTe2,0.0183,3,90,90,90,8.5187,10,5.1303,2.0456,2.875,0.1963,102.239,111.75,1.7909,4,2.6546,0.0108,0.104,-0.0258,0.1996,3.085,3,4,222,104,37.1326,6.0937,2,0.9999,0.6501,0.0238982996686085,-25.53621394,1,14.57168729,1.4046,7890481,4,8.64423848876308,0,0,0,53.220107237,10
9,0.0366,1,90,90,90,9.9236,9.9236,10,0.4387,2.72222222222222,0.0672,12,12,1.6472,4,1.4361,0.0016,0.04,-0.0552,0,3.15,8,8,4/m,117,178.634,13.3654,1,0.0032,0.0016,0.0497574509317596,-322.91875925,1,0,0,1296,0,0,0,-3.094466861,80,0.029910025,300
14.14.14-GY,0.0249,1,90,90,90,6.9785,6.9066,10,0.2988,2.15625,0.0458,12,12,2.3279,3,1.3738,0.0051,0.0713,-0.0962,0,3.15,2,8,mmm,143,847.4452,29.1109,1,0.0032,0.0016,0.0257725158563127,-101.22465118,1,0,0,1296,0,0,0.0138888888888889,-8.23010097,220,-7.673979894,800
ZW-21,0.0364,1,90,90,90,7.411,7.411,10,0.437,2.7,0.067,12,12,1.822,3,1.4343,0.0012,0.0352,-0.0564,0,3.15,5,4,2/m,121,142.6774,11.9448,1,0.0032,0.0015,0.0491595237975612,-181.51851207,1,0,0,1296,0,0,0,-6.907043498,170,-5.763027128,710
c14n12,0.0217,2,90,90,120,11.7685,11.7685,10,0.2801,2.46153846153846,0.0365,12.8471,12.9231,4.7369,3,1.3666,0.0022,0.0465,-0.0784,0.3075,3.3392,3,24,6/mmm,120,14.1569,3.7626,1,0.0032,0.0015,0.026679607490842,-221.31423474,1,0,0,2401,2,5.73820371042034,0,-6.432005225,30,1.011030289,270
GaSe,0.0156,2,90,90,90,6.6488,3.8538,10,1.163,2.8,0.1159,74.2282,74.5,2.0153,1,2.518,0,0.0011,0.0405,0.94,2.9,1,4,m,100,0.0329,0.1814,2,0.9801,0.5034,0.0197574796726125,-13.60651469,1,1.18726559,0.3524,1336336,3,5.76282565917539,0,0,0,102.489768195,10
AlGY-REC,0.0162,2,90,90,90,11.0965,7.7899,10,0.2291,2.15384615384615,0.0427,13.0345,14.1429,3.7798,3,1.5502,0.0898,0.2996,-0.0981,0.2607,3.06,2,1,1,156,873.2672,29.5511,1,0.0032,0.0013,0.0167745193465114,-106.53284414,1,0.000246121277253764,0,28561,3,3.40970707024983,0,0,0,8.755581568,10
C4N-1,0.0507,2,90,90,120,4.7736,4.7736,10.0035,0.6281,3.77272727272727,0.0897,12.3529,12.4,1.3207,3,1.5738,0.0091,0.0954,0.051,0.1757,3.232,5,12,6mm,89,497.0532,22.2947,4,0.9847,0.6075,0.0945580565210615,-80.03639196,1,1.83512761659447,0.3368,2401,1,4.16034574929649,0,0,0,9.898683501,10
AlN,0.0239,2,90,90,119,3.0931,3.0737,10,0.4907,2.71428571428571,0.1068,18.439,20.5,2.8423,1,1.7936,0,0.0038,-0.0658,1.04,3.04,2,2,m,119,1.482,1.2174,1,0.0032,0.0016,0.0319141953258182,-14.04331529,1,0,0,28561,3,5.76282565917539,0,-12.001238026,100,-4.076481398,450
B2_P,0.024,1,98,92,98,3.5803,5.9378,10,0.7446,2.26086956521739,0.1233,31,31,1.7213,5,2.2369,0.0171,0.1309,0.0453,0,3.16,3,1,1,102,25.9968,5.0987,3,0.9999,0.6341,0.0264224289697523,-25.58178634,4,2.97532961,1.2314,50625,0,0,0,-1.442849352,20,43.776588835,50
7,0.0353,1,90,90,120,7.2333,7.2333,10,0.4237,2.77777777777778,0.0649,12,12,3.8666,4,1.4372,0.0034,0.0581,-0.0545,0,3.15,6,12,-6m2,120,640.2218,25.3026,1,0.0032,0.0016,0.0485532327930557,-137.24887575,1,0,0,1296,0,0,0,-2.543907537,40,3.275349768,190
H1,0.0368,1,90,90,120,7.081,7.081,10,0.4422,2.58064516129032,0.0678,12,12,1.562,3,1.4268,0.0013,0.0365,-0.0613,0,3.15,6,12,-6m2,120,94.4079,9.7164,1,0.0032,0.0016,0.0466344656161026,-144.71009456,2,0,0,1296,0,0,0,-8.045202196,130,-5.638860785,590
theta_P,0.0224,1,90,90,82,4.9367,5.4704,10,0.6955,2.55555555555556,0.1151,31,31,1.61,3,2.2554,0.001,0.0318,0.0539,0,3.16,7,1,1,101,277.5782,16.6607,2,0.9997,0.5829,0.0286663769186238,-31.41331458,1,2.25549896,0.7115,50625,0,0,0,-0.693828004,20,32.179369117,30
graphene,0.0379,1,90,90,120,2.4683,2.4683,10,0.4549,2.625,0.0697,12,12,1.4527,1,1.423,0,0,-0.0638,0,3.15,1,24,6/mmm,120,0,0,1,0.0032,0.0016,0.0476763286400818,-18.55712558,1,0,0,1296,0,0,0,-7.06620967,190,-6.153219522,800
19,0.0357,1,90,90,107,3.8243,3.8243,10,0.4287,2.25,0.0657,12,12,1.1276,4,1.4319,0.0041,0.0643,-0.058,0,3.15,6,4,mm2,122,251.7506,15.8667,1,0.0032,0.0016,0.0399521212428985,-40.94860489,3,0,0,1296,0,0,0,0,0,31.493823284,10
beta-β-Si2P2,0.0371,2,90,90,60,3.53,3.53,10,1.0935,2.86885245901639,0.2013,29.4237,29.5,1.1199,2,2.2792,0.0004,0.0205,0.042,0.2789,2.99,2,12,-3m,106,38.6648,6.2181,2,0.9643,0.6093,0.0515459628930854,-22.90878173,2,2.16016128,3.0076,50625,3,5.76282565917539,0,-4.83065129,80,5.887205691,180
2,0.0371,1,90,90,120,8.2723,8.2722,10,0.4455,2.70454545454545,0.0683,12,12,4.3445,5,1.4338,0.0029,0.0535,-0.0567,0,3.15,5,12,-6m2,119,115.2238,10.7342,1,0.0032,0.0016,0.0502005964790687,-197.38610969,1,0,0,1296,0,0,0,-0.124180758,30,3.962218891,60
6.6.12-Gy,0.0277,1,90,90,90,9.4284,6.8974,10,0.3321,2.25714285714286,0.0509,12,12,2.1964,2,1.3631,0.0065,0.0806,-0.1032,0,3.15,2,8,mmm,147,896.0178,29.9336,1,0.0032,0.0015,0.0307548280055823,-154.00798685,1,0,0,1296,0,0,0.0138888888888889,-13.033225294,210,-12.173639178,1000
DHPP-S,0.0158,1,90,90,120,9.3692,9.3693,10,0.4884,2.83333333333333,0.0808,31,31,3.5384,1,2.256,0.0007,0.0256,0.0542,0,3.16,7,1,1,86,347.0076,18.6281,2,1,0.6106,0.0223198135874197,-63.47280692,1,1.62842639,0.4555,50625,0,0,0,-11.066998807,50,11.261441003,150
beta12_borophene,0.0338,1,90,90,90,2.9087,10,5.0919,0.3714,4.4,0.0868,11,11,1.6346,3,1.6997,0.0009,0.0303,-0.0002,0,3.04,3,8,mmm,126,1654.6425,40.6773,1,0.0032,0.0015,0.0725829837310909,-31.81559437,1,18.7059297909816,0,625,0,0,0,-17.15948154,150,-12.862454454,1000
1,0.036,1,90,90,120,9.8156,9.8156,10,0.4315,2.69491525423729,0.0661,12,12,5.0312,4,1.4291,0.0008,0.0283,-0.0598,0,3.15,4,24,6/mmm,125,157.7533,12.56,1,0.0032,0.0016,0.0479397608685294,-271.46039841,1,0,0,1296,0,0,0,-5.364964023,130,-3.359115279,490
arsenene,0.0232,1,90,90,90,4.6743,3.6878,10,1.7403,2.67741935483871,0.1638,75,75,1.7513,2,2.4941,0.0001,0.0105,0.0479,0,3.15,2,8,mmm,98,6.6607,2.5808,3,0.9926,0.5734,0.0304557072147281,-19.36437255,1,2.39348146,1.4322,1185921,0,0,0,-6.286663257,30,25.552238952,70
c65,0.0352,1,90,90,120,5.7284,5.7284,10,0.4223,2.75280898876404,0.0647,12,12,3.3851,3,1.435,0.0024,0.049,-0.0559,0,3.15,5,12,-6m2,121,225.6839,15.0228,1,0.0032,0.0016,0.0480915920470042,-88.64424968,1,0,0,1296,0,0,0,-10.008343622,130,-6.977376485,730
C2P2,0.0265,2,90,90,60,2.9514,2.9514,10,0.57,2.71428571428571,0.0924,17.3023,21.5,1.5083,1,1.8089,0,0,-0.0115,0.01,3.155,1,6,3m,109,0,0,2,0.8687,0.4389,0.0353497455343104,-13.05236695,1,0.607152892305257,0.0922,50625,3,5.76282565917539,0,-12.456755776,140,-5.924855932,440
alpha-α-C2Sb2,0.04,2,90,90,60,3.3979,3.3979,10,2.6803,5.0625,0.2618,21.8507,67,1.7915,3,2.6434,0.4332,0.6582,0.1127,0.0494,3.1,7,12,-6m2,101,971.7673,31.1732,3,1,0.4978,0.10126200834867,-23.93138176,1,3.7076153,2.0111,6765201,3,5.76282565917539,0,0,0,21.63899538,10
C36N6,0.0139,2,90,90,120,18.6533,18.6533,10,0.1712,2.0952380952381,0.025,12.25,12.2857,3.8533,4,1.343,0.006,0.0776,-0.111,0.0745,3.2086,2,24,6/mmm,151,902.1808,30.0363,1,0.0032,0.0015,0.0146019434786207,-352.09157559,1,0,0,2401,1,3.40970707024983,0,-21.564926999,110,-13.418858067,1000
17,0.0344,1,90,90,103,3.8626,3.8626,10,0.4134,2.45569620253165,0.0633,12,12,1.2504,3,1.4496,0.0012,0.0353,-0.0463,0,3.15,6,4,mm2,108,362.6038,19.0422,1,0.0032,0.0015,0.04176627185605,-39.62121587,3,0,0,1296,0,0,0,-3.677068719,70,-1.310781817,390
PGD-REC,0.0181,2,90,90,90,8.9614,17.2616,10,0.2663,2.23809523809524,0.0418,13.1515,14.7143,3.1227,5,1.4351,0.0372,0.1928,-0.1016,0.0023,3.1514,5,4,m,148,1051.2499,32.423,1,0.0032,0.0017,0.0193939362770483,-221.74896211,1,0,0,50625,1,3.40970707024983,0,-3.777328262,20,7.347112292,80
alpha-α-Ge2P2,0.035,2,90,90,60,3.6309,3.6309,10,1.8218,3,0.2167,43.5192,52,1.9235,2,2.3749,0.0018,0.0426,0.0364,0.3083,2.975,2,12,-6m2,105,50.4067,7.0998,2,0.9729,0.5914,0.0525533511987992,-20.61396959,1,4.62009046,3.4309,1048576,3,5.76282565917539,0,-0.506840186,50,16.037630754,10
GaP,0.0151,2,90,90,60,3.9148,3.9148,10,0.761,2.71428571428571,0.096,42.9703,50.5,2.0887,1,2.2602,0,0,-0.013,0.73,2.795,1,12,-6m2,120,0,0,1,0.0032,0.0016,0.0200920491047652,-8.39743502,1,0,0,923521,3,5.76282565917539,0,-13.660406265,50,7.099066716,180
Ge2P2,0.0169,2,90,90,60,3.6948,3.6948,10,0.8797,2.71428571428571,0.1046,43.5192,52,1.9685,1,2.3654,0,0,0.042,0.37,2.975,1,2,m,103,0,0,2,0.9594,0.4845,0.0225573661265181,-9.41978172,1,1.02223927,0.2612,1048576,3,5.76282565917539,0,0,0,91.839843991,10
Pb2N2,0.0163,2,90,90,60,3.7628,3.7628,10,1.8023,2.71428571428571,0.1185,26.2262,110.5,1.977,1,2.2931,0,0,0.0567,0.94,3.09,1,2,m,110,0,0,2,0.8483,0.4286,0.021747591313009,-9.81756909,1,0.73405367,0.1347,45212176,3,5.76282565917539,0,-30.697247776,400,-29.454226793,1000
BCN-2,0.0365,3,90,90,90,15.1164,10,8.7037,0.45,2.63636363636364,0.0719,12.2115,12.3333,1.3037,3,1.4466,0.0026,0.0508,-0.0613,0.3452,3.25,1,4,2/m,120,2.8912,1.7004,1,0.0032,0.0016,0.047123578876913,-411.51294883,1,7.35719036009039,0,2401,3,9.13386256798666,0,0,0,8.714649517,10
BaP3,0.0223,2,90,90,71,6.1542,6.1542,10,1.2817,5.36111111111111,0.3178,38.4344,57.5,1.6626,7,3.0953,0.379,0.6157,0.0504,0.7502,2.875,13,4,2/m,104,986.9706,31.4161,1,1,0.583,0.0597513632305737,-42.9671783,1,3.52923107,1.4168,9834496,9,4.67525439236077,0,0,0,48.406479498,10
AlGY-HEX,0.0121,2,90,90,60,8.7298,8.7296,10,0.1909,2.08333333333333,0.0392,13.9355,15.75,4.1888,2,1.7157,0.0902,0.3004,-0.0772,0.4536,2.9925,2,1,1,152,894.6746,29.9111,0,0,0,0.0126270867909524,-56.03039168,1,6.32661731181372E-05,0,28561,3,4.67525439236077,0,-16.434310001,50,-2.859858781,390
net_C,0.0354,1,90,90,90,4.516,3.7543,10,0.4247,2.75,0.0651,12,12,1.6165,2,1.4307,0.0006,0.0243,-0.0587,0,3.15,4,2,-1,123,280.9257,16.7608,1,0.0032,0.0016,0.0480382557912692,-52.87845608,1,0.00325385882911178,0,1296,0,0,0,-6.853578486,170,-5.507298051,640
PHH-graphene,0.0366,1,90,90,90,8.1129,6.7346,10,0.4393,2.7,0.0673,12,12,1.4692,4,1.4377,0.0035,0.0589,-0.0542,0,3.15,5,4,mm2,118,133.8121,11.5677,1,0.0032,0.0016,0.0494169568959647,-179.18301197,1,0,0,1296,0,0,0,-3.438998625,30,4.141821712,140
BPC,0.0303,1,90,90,120,6.764,6.764,10,0.3634,2.77777777777778,0.0557,12,12,2.692,2,1.4356,0.0027,0.0524,-0.0556,0,3.15,3,8,mmm,120,394.2238,19.8551,1,0.0032,0.0016,0.0420644690318367,-103.58679097,1,0,0,1296,0,0,0,-12.200326221,180,-10.891057341,1000
